Device,Telco,Rate plan,RRP,Device monthly,Plan monthly,Gross monthly,Total cost of ownership,Months,Select plan Range,summary RM58 plan,,,,summary RM88 plan,,
iPhone 16 Pro 512GB,Telco CD,Postpaid 5G 100,"6,499",164,90,254,"9,144",36,< RM100 plan,Save up to,"RM1,260",with Yes 5G,,,,
iPhone 16 Pro 512GB,Yes 5G,Infinite+ Premium 118,"6,499",124,118,242,"8,712",36,RM101 - RM149 plan,,,,,,,
iPhone 16 Pro 512GB,Telco CD,Postpaid 5G 120,"6,499",151,110,261,"9,396",36,RM101 - RM149 plan,Save up to,RM684,with Yes 5G,,,,
iPhone 16 Pro 512GB,Telco M,Telco M Postpaid 109,"6,499",164,109,273,"9,828",36,RM101 - RM149 plan,Save up to,"RM1,116",with Yes 5G,,,,
iPhone 16 Pro 512GB,Telco CD,Postpaid 5G 140,"6,499",149,130,279,"10,044",36,RM101 - RM149 plan,Save up to,"RM1,332",with Yes 5G,,,,
iPhone 16 Pro 512GB,Telco M,Telco M Postpaid 139,"6,499",150,139,289,"10,404",36,RM101 - RM149 plan,Save up to,"RM1,692",with Yes 5G,,,,
iPhone 16 Pro 512GB,Yes 5G,Infinite+ Ultra 178,"6,499",80,178,258,"9,288",36,> RM150 plan,,,,,,,
iPhone 16 Pro 512GB,Telco CD,Postpaid 5G 160,"6,499",147,150,297,"10,692",36,> RM150 plan,Save up to,"RM1,404",with Yes 5G,,,,
iPhone 16 Pro 512GB,Telco M,Telco M Postpaid 169,"6,499",147,169,316,"11,376",36,> RM150 plan,Save up to,"RM2,088",with Yes 5G,,,,
iPhone 16 Pro 512GB,Telco M,Telco M Postpaid 199,"6,499",144,199,343,"12,348",36,> RM150 plan,Save up to,"RM3,060",with Yes 5G,,,,
iPhone 16 Pro 1TB,Yes 5G,Infinite+ Basic 58,"7,499",186,58,244,"8,784",36,< RM100 plan,,,,,,,
iPhone 16 Pro 1TB,Yes 5G,Infinite+ Standard 88,"7,499",169,88,257,"9,252",36,< RM100 plan,,,,,,,
iPhone 16 Pro 1TB,Telco U,U Postpaid 68,"7,499",189,68,257,"9,252",36,< RM100 plan,Save up to,RM468,with Yes 5G,,,,
iPhone 16 Pro 1TB,Telco U,U Postpaid 98,"7,499",179,98,277,"9,972",36,< RM100 plan,Save up to,"RM1,188",with Yes 5G,,,,
iPhone 16 Pro 1TB,Telco CD,Postpaid 5G 100,"7,499",189,90,279,"10,044",36,< RM100 plan,Save up to,"RM1,260",with Yes 5G,,,,
iPhone 16 Pro 1TB,Yes 5G,Infinite+ Premium 118,"7,499",150,118,268,"9,648",36,RM101 - RM149 plan,,,,,,,
iPhone 16 Pro 1TB,Telco CD,Postpaid 5G 120,"7,499",177,110,287,"10,332",36,RM101 - RM149 plan,Save up to,RM684,with Yes 5G,,,,
iPhone 16 Pro 1TB,Telco M,Telco M Postpaid 109,"7,499",189,109,298,"10,728",36,RM101 - RM149 plan,Save up to,"RM1,080",with Yes 5G,,,,
iPhone 16 Pro 1TB,Telco CD,Postpaid 5G 140,"7,499",175,130,305,"10,980",36,RM101 - RM149 plan,Save up to,"RM1,332",with Yes 5G,,,,
iPhone 16 Pro 1TB,Telco M,Telco M Postpaid 139,"7,499",175,139,314,"11,304",36,RM101 - RM149 plan,Save up to,"RM1,656",with Yes 5G,,,,
iPhone 16 Pro 1TB,Yes 5G,Infinite+ Ultra 178,"7,499",105,178,283,"10,188",36,> RM150 plan,,,,,,,
iPhone 16 Pro 1TB,Telco CD,Postpaid 5G 160,"7,499",172,150,322,"11,592",36,> RM150 plan,Save up to,"RM1,404",with Yes 5G,,,,
iPhone 16 Pro 1TB,Telco M,Telco M Postpaid 169,"7,499",172,169,341,"12,276",36,> RM150 plan,Save up to,"RM2,088",with Yes 5G,,,,
iPhone 16 Pro 1TB,Telco M,Telco M Postpaid 199,"7,499",169,199,368,"13,248",36,> RM150 plan,Save up to,"RM3,060",with Yes 5G,,,,
iPhone 16 Pro Max 256GB,Yes 5G,Infinite+ Basic 58,"5,999",149,58,207,"7,452",36,< RM100 plan,,,,,,,
iPhone 16 Pro Max 256GB,Yes 5G,Infinite+ Standard 88,"5,999",131,88,219,"7,884",36,< RM100 plan,,,,,,,
iPhone 16 Pro Max 256GB,Telco U,U Postpaid 68,"5,999",151,68,219,"7,884",36,< RM100 plan,Save up to,RM432,with Yes 5G,,,,
iPhone 16 Pro Max 256GB,Telco U,U Postpaid 98,"5,999",141,98,239,"8,604",36,< RM100 plan,Save up to,"RM1,152",with Yes 5G,,,,
iPhone 16 Pro Max 256GB,Telco CD,Postpaid 5G 100,"5,999",151,90,241,"8,676",36,< RM100 plan,Save up to,"RM1,224",with Yes 5G,,,,
iPhone 16 Pro Max 256GB,Yes 5G,Infinite+ Premium 118,"5,999",111,118,229,"8,244",36,RM101 - RM149 plan,,,,,,,
iPhone 16 Pro Max 256GB,Telco CD,Postpaid 5G 120,"5,999",139,110,249,"8,964",36,RM101 - RM149 plan,Save up to,RM720,with Yes 5G,,,,
iPhone 16 Pro Max 256GB,Telco M,Telco M Postpaid 109,"5,999",151,109,260,"9,360",36,RM101 - RM149 plan,Save up to,"RM1,116",with Yes 5G,,,,
iPhone 16 Pro Max 256GB,Telco CD,Postpaid 5G 140,"5,999",137,130,267,"9,612",36,RM101 - RM149 plan,Save up to,"RM1,368",with Yes 5G,,,,
iPhone 16 Pro Max 256GB,Telco M,Telco M Postpaid 139,"5,999",137,139,276,"9,936",36,RM101 - RM149 plan,Save up to,"RM1,692",with Yes 5G,,,,
iPhone 16 Pro Max 256GB,Yes 5G,Infinite+ Ultra 178,"5,999",67,178,245,"8,820",36,> RM150 plan,,,,,,,
iPhone 16 Pro Max 256GB,Telco CD,Postpaid 5G 160,"5,999",134,150,284,"10,224",36,> RM150 plan,Save up to,"RM1,404",with Yes 5G,,,,
iPhone 16 Pro Max 256GB,Telco M,Telco M Postpaid 169,"5,999",134,169,303,"10,908",36,> RM150 plan,Save up to,"RM2,088",with Yes 5G,,,,
iPhone 16 Pro Max 256GB,Telco M,Telco M Postpaid 199,"5,999",131,199,330,"11,880",36,> RM150 plan,Save up to,"RM3,060",with Yes 5G,,,,
iPhone 16 Pro Max 512GB,Yes 5G,Infinite+ Basic 58,"6,999",174,58,232,"8,352",36,< RM100 plan,,,,,,,
iPhone 16 Pro Max 512GB,Yes 5G,Infinite+ Standard 88,"6,999",156,88,244,"8,784",36,< RM100 plan,,,,,,,
iPhone 16 Pro Max 512GB,Telco U,U Postpaid 68,"6,999",176,68,244,"8,784",36,< RM100 plan,Save up to,RM432,with Yes 5G,,,,
iPhone 16 Pro Max 512GB,Telco U,U Postpaid 98,"6,999",166,98,264,"9,504",36,< RM100 plan,Save up to,"RM1,152",with Yes 5G,,,,
iPhone 16 Pro Max 512GB,Telco CD,Postpaid 5G 100,"6,999",176,90,266,"9,576",36,< RM100 plan,Save up to,"RM1,224",with Yes 5G,,,,
iPhone 16 Pro Max 512GB,Yes 5G,Infinite+ Premium 118,"6,999",137,118,255,"9,180",36,RM101 - RM149 plan,,,,,,,
iPhone 16 Pro Max 512GB,Telco CD,Postpaid 5G 120,"6,999",164,110,274,"9,864",36,RM101 - RM149 plan,Save up to,RM684,with Yes 5G,,,,
iPhone 16 Pro Max 512GB,Telco M,Telco M Postpaid 109,"6,999",176,109,285,"10,260",36,RM101 - RM149 plan,Save up to,"RM1,080",with Yes 5G,,,,
iPhone 16 Pro Max 512GB,Telco CD,Postpaid 5G 140,"6,999",162,130,292,"10,512",36,RM101 - RM149 plan,Save up to,"RM1,332",with Yes 5G,,,,
iPhone 16 Pro Max 512GB,Telco M,Telco M Postpaid 139,"6,999",162,139,301,"10,836",36,RM101 - RM149 plan,Save up to,"RM1,656",with Yes 5G,,,,
iPhone 16 Pro Max 512GB,Yes 5G,Infinite+ Ultra 178,"6,999",93,178,271,"9,756",36,> RM150 plan,,,,,,,
iPhone 16 Pro Max 512GB,Telco CD,Postpaid 5G 160,"6,999",160,150,310,"11,160",36,> RM150 plan,Save up to,"RM1,404",with Yes 5G,,,,
iPhone 16 Pro Max 512GB,Telco M,Telco M Postpaid 169,"6,999",159,169,328,"11,808",36,> RM150 plan,Save up to,"RM2,052",with Yes 5G,,,,
iPhone 16 Pro Max 512GB,Telco M,Telco M Postpaid 199,"6,999",156,199,355,"12,780",36,> RM150 plan,Save up to,"RM3,024",with Yes 5G,,,,
iPhone 16 Pro Max 1TB,Yes 5G,Infinite+ Basic 58,"7,999",199,58,257,"9,252",36,< RM100 plan,,,,,,,
iPhone 16 Pro Max 1TB,Yes 5G,Infinite+ Standard 88,"7,999",182,88,270,"9,720",36,< RM100 plan,,,,,,,
iPhone 16 Pro Max 1TB,Telco U,U Postpaid 68,"7,999",202,68,270,"9,720",36,< RM100 plan,Save up to,RM468,with Yes 5G,,,,
iPhone 16 Pro Max 1TB,Telco U,U Postpaid 98,"7,999",192,98,290,"10,440",36,< RM100 plan,Save up to,"RM1,188",with Yes 5G,,,,
iPhone 16 Pro Max 1TB,Telco CD,Postpaid 5G 100,"7,999",202,90,292,"10,512",36,< RM100 plan,Save up to,"RM1,260",with Yes 5G,,,,
iPhone 16 Pro Max 1TB,Yes 5G,Infinite+ Premium 118,"7,999",162,118,280,"10,080",36,RM101 - RM149 plan,,,,,,,
iPhone 16 Pro Max 1TB,Telco CD,Postpaid 5G 120,"7,999",189,110,299,"10,764",36,RM101 - RM149 plan,Save up to,RM684,with Yes 5G,,,,
